entry,exit,bars,entry_px,exit_px,pnl_pct
2005-07-26,2005-08-23,28,84.11,83.36,-0.89
2005-09-15,2005-10-21,36,83.98,80.9,-3.67
2005-11-16,2005-12-19,33,84.57,86.54,2.34
2006-03-29,2006-04-10,12,89.87,89.67,-0.22
2006-05-19,2006-06-08,20,87.85,86.92,-1.06
2006-08-21,2006-09-25,35,90.34,92.38,2.25
2006-10-02,2006-11-15,44,92.79,97.63,5.21
2007-02-20,2007-02-28,8,102.4,98.82,-3.5
2007-03-01,2007-04-04,34,98.52,101.26,2.78
2007-04-20,2007-06-19,60,104.62,108.36,3.57
2007-06-27,2007-07-02,5,106.33,107.31,0.92
2007-07-10,2007-07-16,6,106.7,109.46,2.59
2007-08-02,2007-08-17,15,104.35,102.31,-1.96
2007-09-28,2007-10-22,24,108.38,106.93,-1.34
2007-10-23,2007-10-26,3,107.8,109.12,1.23
2008-05-13,2008-05-28,15,100.81,99.97,-0.84
2008-06-17,2008-06-23,6,97.29,94.81,-2.55
2009-05-07,2009-06-01,25,66.92,69.8,4.3
2009-07-07,2009-07-16,9,65.23,68.97,5.73
2009-07-28,2009-09-03,37,72.51,74.55,2.82
2009-09-10,2009-09-15,5,77.62,78.31,0.89
2009-09-23,2009-10-08,15,79.02,79.34,0.4
2009-10-27,2009-11-13,17,79.2,81.58,3.01
2009-11-19,2009-12-10,21,81.73,82.34,0.75
2010-01-12,2010-01-21,9,85.04,83.58,-1.72
2010-01-26,2010-03-02,35,81.79,83.95,2.64
2010-03-08,2010-04-23,46,85.5,91.52,7.04
2010-05-10,2010-06-01,22,87.27,80.79,-7.43
2010-09-29,2010-10-18,19,86.87,89.77,3.33
2010-11-10,2010-11-15,5,92.66,91.09,-1.7
2010-12-13,2011-02-03,52,94.53,99.77,5.55
2011-03-18,2011-04-27,40,97.89,103.95,6.19
2011-05-27,2011-05-31,4,102.3,103.36,1.04
2011-06-06,2011-06-20,14,98.87,98.33,-0.55
2011-07-21,2011-07-22,1,103.56,103.63,0.07
2012-01-18,2012-03-13,55,101.86,109.1,7.1
2012-03-27,2012-04-17,21,110.44,108.81,-1.48
2012-05-18,2012-06-05,18,101.5,100.98,-0.52
2012-08-23,2012-09-06,14,110.61,113.06,2.21
2012-09-19,2012-10-10,21,115.36,113.27,-1.81
2012-11-09,2012-11-30,21,109.23,112.38,2.89
2012-12-19,2013-01-02,14,114.07,116.29,1.94
2013-01-22,2013-02-26,35,118.74,119.44,0.6
2013-02-27,2013-02-28,1,120.95,120.71,-0.2
2013-03-18,2013-04-08,21,123.93,124.93,0.8
2013-05-10,2013-06-13,34,130.68,131.32,0.49
2013-06-26,2013-08-14,49,128.75,135.66,5.37
2013-08-23,2013-10-16,54,133.96,139.01,3.77
2013-10-23,2013-11-21,29,141.03,145.35,3.06
2014-01-13,2014-01-14,1,147.58,149.19,1.09
2014-01-15,2014-01-27,12,149.99,144.59,-3.6
2014-01-28,2014-03-27,58,145.45,150.59,3.53
2014-06-09,2014-07-14,35,159.56,161.99,1.52
2014-08-04,2014-09-23,50,158.94,163.08,2.6
2014-10-13,2014-10-22,9,154.35,158.7,2.82
